#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.0%	5000	-906.2056457165188	288.9758158650108	0	--
0.0%	10000	-920.7368022279107	265.9584735611822	1.17e+03	4:05:29
0.0%	15000	-858.2891209248977	324.78520359375915	1.17e+03	4:07:01
0.0%	20000	-836.7610833505938	338.898732842968	1.16e+03	4:08:04
0.0%	25000	-886.8506515039239	269.1953880732343	1.16e+03	4:08:35
0.0%	30000	-889.1146187841433	301.34678794846087	1.16e+03	4:09:03
0.0%	35000	-975.5723874540774	324.27270039606486	1.16e+03	4:09:13
0.0%	40000	-914.2325521925424	310.329300119831	1.15e+03	4:09:20
0.0%	45000	-864.5271967558779	298.0696641397834	1.15e+03	4:09:26
0.1%	50000	-932.470079792428	308.37428840570226	1.15e+03	4:09:30
0.1%	55000	-904.8762479457992	273.8787956578419	1.15e+03	4:09:36
0.1%	60000	-937.9615669483775	276.73595386471817	1.15e+03	4:09:38
0.1%	65000	-862.8376677863868	277.3885282634856	1.15e+03	4:09:40
0.1%	70000	-908.4410907443249	312.4088416128174	1.15e+03	4:09:41
0.1%	75000	-906.3654721859907	290.22663581850344	1.15e+03	4:09:42
0.1%	80000	-883.0194155842775	342.8496930386778	1.15e+03	4:09:43
0.1%	85000	-901.2465042941853	291.3060702585017	1.15e+03	4:09:43
0.1%	90000	-927.454060223944	292.4637739461251	1.15e+03	4:09:43
0.1%	95000	-841.2623922043451	304.6549615347133	1.15e+03	4:09:42
0.1%	100000	-877.9322595358146	308.7996604384231	1.15e+03	4:09:42
0.1%	105000	-841.5825007732263	293.03804603041164	1.15e+03	4:09:43
0.1%	110000	-935.6338851155908	273.01366751013717	1.15e+03	4:09:43
0.1%	115000	-909.3906779819305	277.59870119880696	1.15e+03	4:09:43
0.1%	120000	-927.0315638471169	282.6097186570294	1.15e+03	4:09:42
0.1%	125000	-930.6224650361771	295.6523116481748	1.15e+03	4:09:42
0.1%	130000	-970.0375088157912	309.9062097001588	1.15e+03	4:09:42
0.1%	135000	-889.4011744472793	295.3822546370406	1.15e+03	4:09:42
0.1%	140000	-934.7358954899219	316.7027051029391	1.15e+03	4:09:41
0.1%	145000	-958.0643626547117	321.18653767950207	1.15e+03	4:09:41
0.1%	150000	-906.8669566601027	304.2110720627572	1.15e+03	4:09:42
0.2%	155000	-819.0184699060452	298.4138239747149	1.15e+03	4:09:41
0.2%	160000	-987.3523534838807	284.14375623025575	1.15e+03	4:09:40
0.2%	165000	-910.5942600002076	319.7909179645601	1.15e+03	4:09:40
0.2%	170000	-931.2304816636068	326.7395870376281	1.15e+03	4:09:40
0.2%	175000	-909.4425345929868	277.7772291531493	1.15e+03	4:09:39
0.2%	180000	-820.0523543997468	291.5072820759073	1.15e+03	4:09:38
0.2%	185000	-866.8052187329059	278.41951975976997	1.15e+03	4:09:37
0.2%	190000	-919.076301052321	279.31156432807757	1.15e+03	4:09:37
0.2%	195000	-894.384593159066	304.08194599094634	1.15e+03	4:09:36
0.2%	200000	-894.1314911635714	307.9730221108432	1.15e+03	4:09:35
0.2%	205000	-865.3090036203362	306.6396011516186	1.15e+03	4:09:35
0.2%	210000	-891.4375938406152	272.894246560497	1.15e+03	4:09:35
0.2%	215000	-958.2735888622261	285.2427001151627	1.15e+03	4:09:34
0.2%	220000	-848.5068967128374	295.8000874266441	1.15e+03	4:09:34
0.2%	225000	-963.5363994209717	286.7829873241309	1.15e+03	4:09:34
0.2%	230000	-959.8965667194328	335.26392485534615	1.15e+03	4:09:33
0.2%	235000	-910.5773562970138	300.6782753252087	1.15e+03	4:09:33
0.2%	240000	-933.6165717568203	320.6694051219989	1.15e+03	4:09:33
0.2%	245000	-884.9394331547899	291.8737951053443	1.15e+03	4:09:33
0.2%	250000	-883.3122137844159	312.3887369645047	1.15e+03	4:09:33
0.3%	255000	-966.153502994871	309.3241999716204	1.15e+03	4:09:33
0.3%	260000	-911.1164672960385	310.03880779182623	1.15e+03	4:09:32
0.3%	265000	-866.1483295797857	313.4223407423954	1.15e+03	4:09:32
0.3%	270000	-945.0493473437874	303.8405579437711	1.15e+03	4:09:32
0.3%	275000	-913.4940696103739	297.8339966586577	1.15e+03	4:09:31
0.3%	280000	-924.0075882387207	297.58778085053905	1.15e+03	4:09:31
0.3%	285000	-905.4497115858479	297.7804614191541	1.15e+03	4:09:30
0.3%	290000	-912.4433642034984	318.1607881084446	1.15e+03	4:09:30
0.3%	295000	-942.0353404132015	272.8378179711128	1.15e+03	4:09:30
0.3%	300000	-940.6685575235326	309.0721974637406	1.15e+03	4:09:29
0.3%	305000	-981.3277424661391	283.7318093409806	1.15e+03	4:09:29
0.3%	310000	-898.18143528307	310.7248127817847	1.15e+03	4:09:29
0.3%	315000	-986.0324695203757	311.90602700386586	1.15e+03	4:09:28
0.3%	320000	-812.396221793152	277.81899259199616	1.15e+03	4:09:28
0.3%	325000	-889.4960411492929	320.60274234075166	1.15e+03	4:09:27
0.3%	330000	-844.0075220651322	313.5517313490525	1.15e+03	4:09:26
0.3%	335000	-908.6862635746013	306.59711024194456	1.15e+03	4:09:25
0.3%	340000	-849.9415004737323	274.29299109331	1.15e+03	4:09:25
0.3%	345000	-878.3937217375337	289.227454637477	1.15e+03	4:09:24
0.3%	350000	-899.7667748123556	277.7570253042693	1.15e+03	4:09:24
0.4%	355000	-909.3096769364964	278.2864917989774	1.15e+03	4:09:23
0.4%	360000	-872.7820198974442	299.68841899751146	1.15e+03	4:09:23
0.4%	365000	-928.0538611875154	278.3236589448712	1.15e+03	4:09:22
0.4%	370000	-867.8498568529981	260.69995068746573	1.15e+03	4:09:22
0.4%	375000	-908.7886285852287	289.16022971968147	1.15e+03	4:09:21
0.4%	380000	-869.9232486644659	283.5581091475818	1.15e+03	4:09:20
0.4%	385000	-839.3607400331518	298.51583522478825	1.15e+03	4:09:19
0.4%	390000	-894.2163048202505	321.74599581240034	1.15e+03	4:09:19
0.4%	395000	-856.9576460911131	284.67252832099257	1.15e+03	4:09:18
0.4%	400000	-847.5790049917193	311.3609529532308	1.15e+03	4:09:18
0.4%	405000	-898.6625665367126	322.06879445849955	1.15e+03	4:09:17
0.4%	410000	-935.1297155038561	308.5376386732427	1.15e+03	4:09:16
0.4%	415000	-889.6138622104654	280.94883662504094	1.15e+03	4:09:15
0.4%	420000	-870.1561333240085	300.65370665136606	1.15e+03	4:09:15
0.4%	425000	-921.20023757083	291.8065701875488	1.15e+03	4:09:14
0.4%	430000	-870.2021056427669	276.1937070302521	1.15e+03	4:09:14
